system;region;route;banner;abbrev;city;fileroot;AltRouteNames;=
usaky4;KY;KY1630;;;;ky.ky1630;;signed
usaky4;KY;KY1631;;;;ky.ky1631;;
usaky4;KY;KY1632;;;;ky.ky1632;;
usaky4;KY;KY1633;;;;ky.ky1633;;signed
usaky4;KY;KY1635;;;;ky.ky1635;;signed
usaky4;KY;KY1636;;;;ky.ky1636;;
usaky4;KY;KY1637;;;;ky.ky1637;;
usaky4;KY;KY1638;;;;ky.ky1638;;signed
usaky4;KY;KY1639;;;;ky.ky1639;;signed
usaky4;KY;KY1640;;;;ky.ky1640;;signed
usaky4;KY;KY1642;;;;ky.ky1642;;signed
usaky4;KY;KY1643;;;;ky.ky1643;;signed
usaky4;KY;KY1644;;;;ky.ky1644;;not signed
usaky4;KY;KY1645;;;;ky.ky1645;;signed
usaky4;KY;KY1646;;;;ky.ky1646;;signed
usaky4;KY;KY1648;;;;ky.ky1648;;
usaky4;KY;KY1649;;;;ky.ky1649;;signed
usaky4;KY;KY1650;;;;ky.ky1650;;
usaky4;KY;KY1651;;;;ky.ky1651;;signed
usaky4;KY;KY1653;;;;ky.ky1653;;signed
usaky4;KY;KY1654;;;;ky.ky1654;;signed
usaky4;KY;KY1655;;;;ky.ky1655;;signed
usaky4;KY;KY1656;;;;ky.ky1656;;signed
usaky4;KY;KY1657;;;;ky.ky1657;;
usaky4;KY;KY1658;;;;ky.ky1658;;signed
usaky4;KY;KY1659;;;;ky.ky1659;;
usaky4;KY;KY1660;;;;ky.ky1660;;signed
usaky4;KY;KY1661;;;;ky.ky1661;;
usaky4;KY;KY1662;;;;ky.ky1662;;
usaky4;KY;KY1663;;;;ky.ky1663;;signed
usaky4;KY;KY1664;;;;ky.ky1664;;signed
usaky4;KY;KY1665;;;;ky.ky1665;;
usaky4;KY;KY1667;;;;ky.ky1667;;
usaky4;KY;KY1668;;;;ky.ky1668;;
usaky4;KY;KY1669;;;;ky.ky1669;;
usaky4;KY;KY1670;;;;ky.ky1670;;
usaky4;KY;KY1672;;;;ky.ky1672;;
usaky4;KY;KY1673;;;;ky.ky1673;;
usaky4;KY;KY1674;;;;ky.ky1674;;
usaky4;KY;KY1675;;;;ky.ky1675;;signed
usaky4;KY;KY1676;;;;ky.ky1676;;signed
usaky4;KY;KY1677;;;;ky.ky1677;;
usaky4;KY;KY1678;;;;ky.ky1678;;
usaky4;KY;KY1679;;;;ky.ky1679;;signed
usaky4;KY;KY1680;;;;ky.ky1680;;
usaky4;KY;KY1681;;;;ky.ky1681;;signed
usaky4;KY;KY1682;;;;ky.ky1682;;signed
usaky4;KY;KY1684;;;;ky.ky1684;;signed
usaky4;KY;KY1685;;;;ky.ky1685;;
usaky4;KY;KY1686;;;;ky.ky1686;;
usaky4;KY;KY1687;;;;ky.ky1687;;
usaky4;KY;KY1688;;;;ky.ky1688;;signed
usaky4;KY;KY1689;;;;ky.ky1689;;signed
usaky4;KY;KY1690;;;;ky.ky1690;;
usaky4;KY;KY1692;;;;ky.ky1692;;signed
usaky4;KY;KY1693;;;;ky.ky1693;;signed
usaky4;KY;KY1694;;;;ky.ky1694;;
usaky4;KY;KY1695;;;;ky.ky1695;;
usaky4;KY;KY1697;;;;ky.ky1697;;signed
usaky4;KY;KY1698;;;;ky.ky1698;;signed
usaky4;KY;KY1700;;;;ky.ky1700;;
usaky4;KY;KY1701;;;;ky.ky1701;;
usaky4;KY;KY1702;;;;ky.ky1702;;signed
usaky4;KY;KY1703;;;;ky.ky1703;;
usaky4;KY;KY1704;;;;ky.ky1704;;
usaky4;KY;KY1705;;;;ky.ky1705;;signed
usaky4;KY;KY1706;;;;ky.ky1706;;
usaky4;KY;KY1707;;;;ky.ky1707;;signed
usaky4;KY;KY1708;;;;ky.ky1708;;
usaky4;KY;KY1709;;;;ky.ky1709;;signed
usaky4;KY;KY1710;;;;ky.ky1710;;signed
usaky4;KY;KY1711;;;;ky.ky1711;;
usaky4;KY;KY1712;;;;ky.ky1712;;signed
usaky4;KY;KY1714;;;;ky.ky1714;;signed
usaky4;KY;KY1715;;;;ky.ky1715;;
usaky4;KY;KY1716;;;;ky.ky1716;;
usaky4;KY;KY1717;;;;ky.ky1717;;signed
usaky4;KY;KY1718;;;;ky.ky1718;;signed
usaky4;KY;KY1720;;;;ky.ky1720;;signed
usaky4;KY;KY1721;;;;ky.ky1721;;signed
usaky4;KY;KY1722;;;;ky.ky1722;;signed
usaky4;KY;KY1723;;;;ky.ky1723;;
usaky4;KY;KY1724;;;;ky.ky1724;;signed
usaky4;KY;KY1725;;;;ky.ky1725;;signed
usaky4;KY;KY1726;;;;ky.ky1726;;
usaky4;KY;KY1727;;;;ky.ky1727;;
usaky4;KY;KY1728;;;;ky.ky1728;;
usaky4;KY;KY1729;;;;ky.ky1729;;
usaky4;KY;KY1730;;;;ky.ky1730;;
usaky4;KY;KY1731;;;;ky.ky1731;;not signed
usaky4;KY;KY1732;;;;ky.ky1732;;
usaky4;KY;KY1734;;;;ky.ky1734;;
usaky4;KY;KY1735;;;;ky.ky1735;;signed
usaky4;KY;KY1736;;;;ky.ky1736;;signed
usaky4;KY;KY1737;;;;ky.ky1737;;signed
usaky4;KY;KY1738;;;;ky.ky1738;;signed
usaky4;KY;KY1740;;;;ky.ky1740;;
usaky4;KY;KY1741;;;;ky.ky1741;;signed
usaky4;KY;KY1742;;;;ky.ky1742;;signed
usaky4;KY;KY1743;;;;ky.ky1743;;signed
usaky4;KY;KY1744;;;;ky.ky1744;;signed
usaky4;KY;KY1745;;;;ky.ky1745;;not signed
usaky4;KY;KY1746;;;;ky.ky1746;;signed
usaky4;KY;KY1747;;;;ky.ky1747;;signed
usaky4;KY;KY1748;;;;ky.ky1748;;
usaky4;KY;KY1749;;;;ky.ky1749;;signed
usaky4;KY;KY1750;;;;ky.ky1750;;signed
usaky4;KY;KY1752;;;;ky.ky1752;;
usaky4;KY;KY1753;;;;ky.ky1753;;signed
usaky4;KY;KY1754;;;;ky.ky1754;;
usaky4;KY;KY1755;;;;ky.ky1755;;not signed
usaky4;KY;KY1756;;;;ky.ky1756;;
usaky4;KY;KY1757;;;;ky.ky1757;;not signed
usaky4;KY;KY1758;;;;ky.ky1758;;
usaky4;KY;KY1759;;;;ky.ky1759;;signed
usaky4;KY;KY1760;;;;ky.ky1760;;
usaky4;KY;KY1761;;;;ky.ky1761;;
usaky4;KY;KY1762;;;;ky.ky1762;;
usaky4;KY;KY1765;;;;ky.ky1765;;signed
usaky4;KY;KY1766;;;;ky.ky1766;;
usaky4;KY;KY1768;;;;ky.ky1768;;
usaky4;KY;KY1769;;;;ky.ky1769;;
usaky4;KY;KY1770;;;;ky.ky1770;;
usaky4;KY;KY1771;;;;ky.ky1771;;signed
usaky4;KY;KY1772;;;;ky.ky1772;;
usaky4;KY;KY1773;;;;ky.ky1773;;
usaky4;KY;KY1774;;;;ky.ky1774;;
usaky4;KY;KY1775;;;;ky.ky1775;;signed
usaky4;KY;KY1776;;;;ky.ky1776;;
usaky4;KY;KY1777;;;;ky.ky1777;;signed
usaky4;KY;KY1778;;;;ky.ky1778;;
usaky4;KY;KY1779;;;;ky.ky1779;;signed
usaky4;KY;KY1780;;;;ky.ky1780;;
usaky4;KY;KY1781;;;;ky.ky1781;;signed
usaky4;KY;KY1782;;;;ky.ky1782;;
usaky4;KY;KY1784;;;;ky.ky1784;;
usaky4;KY;KY1785;;;;ky.ky1785;;signed
usaky4;KY;KY1786;;;;ky.ky1786;;
usaky4;KY;KY1787;;;;ky.ky1787;;
usaky4;KY;KY1789;;;;ky.ky1789;;signed
usaky4;KY;KY1790;;;;ky.ky1790;;
usaky4;KY;KY1791;;;;ky.ky1791;;signed
usaky4;KY;KY1792;;;;ky.ky1792;;
usaky4;KY;KY1793;;;;ky.ky1793;;
usaky4;KY;KY1794;;;;ky.ky1794;;
usaky4;KY;KY1795;;;;ky.ky1795;;
usaky4;KY;KY1796;;;;ky.ky1796;;
usaky4;KY;KY1797;;;;ky.ky1797;;
usaky4;KY;KY1798;;;;ky.ky1798;;
usaky4;KY;KY1799;;;;ky.ky1799;;
usaky4;KY;KY1800;;;;ky.ky1800;;
usaky4;KY;KY1801;;;;ky.ky1801;;Deleted 7/15/12
usaky4;KY;KY1802;;;;ky.ky1802;;
usaky4;KY;KY1803;;;;ky.ky1803;;signed
usaky4;KY;KY1804;;;;ky.ky1804;;signed
usaky4;KY;KY1805;;;;ky.ky1805;;
usaky4;KY;KY1806;;;;ky.ky1806;;
usaky4;KY;KY1807;;;;ky.ky1807;;
usaky4;KY;KY1808;;;;ky.ky1808;;
usaky4;KY;KY1809;;;;ky.ky1809;;
usaky4;KY;KY1810;;;;ky.ky1810;;signed
usaky4;KY;KY1811;;;;ky.ky1811;;signed
usaky4;KY;KY1812;;;;ky.ky1812;;signed
usaky4;KY;KY1814;;;;ky.ky1814;;
usaky4;KY;KY1815;;;;ky.ky1815;;
usaky4;KY;KY1816;;;;ky.ky1816;;
usaky4;KY;KY1817;;;;ky.ky1817;;
usaky4;KY;KY1818;;;;ky.ky1818;;signed
usaky4;KY;KY1819;;;;ky.ky1819;;signed
usaky4;KY;KY1820;;;;ky.ky1820;;signed
usaky4;KY;KY1821;;;;ky.ky1821;;not signed
usaky4;KY;KY1822;;;;ky.ky1822;;
usaky4;KY;KY1823;;;;ky.ky1823;;signed
usaky4;KY;KY1824;;;;ky.ky1824;;signed
usaky4;KY;KY1825;;;;ky.ky1825;;signed
usaky4;KY;KY1826;;;;ky.ky1826;;signed
usaky4;KY;KY1827;;;;ky.ky1827;;signed
usaky4;KY;KY1828;;;;ky.ky1828;;signed
usaky4;KY;KY1829;;;;ky.ky1829;;signed
usaky4;KY;KY1830;;;;ky.ky1830;;
usaky4;KY;KY1831;;;;ky.ky1831;;
usaky4;KY;KY1832;;;;ky.ky1832;;
usaky4;KY;KY1833;;;;ky.ky1833;;
usaky4;KY;KY1834;;;;ky.ky1834;;
usaky4;KY;KY1835;;;;ky.ky1835;;signed
usaky4;KY;KY1836;;;;ky.ky1836;;signed
usaky4;KY;KY1837;;;;ky.ky1837;;signed
usaky4;KY;KY1838;;;;ky.ky1838;;signed
usaky4;KY;KY1839;;;;ky.ky1839;;not signed
usaky4;KY;KY1840;;;;ky.ky1840;;
usaky4;KY;KY1841;;;;ky.ky1841;;not signed
usaky4;KY;KY1842;;;;ky.ky1842;;
usaky4;KY;KY1843;;;;ky.ky1843;;
usaky4;KY;KY1844;;;;ky.ky1844;;
usaky4;KY;KY1845;;;;ky.ky1845;;signed
usaky4;KY;KY1846;;;;ky.ky1846;;
usaky4;KY;KY1847;;;;ky.ky1847;;signed
usaky4;KY;KY1848;;;;ky.ky1848;;
usaky4;KY;KY1849;;;;ky.ky1849;;
usaky4;KY;KY1850;;;;ky.ky1850;;
usaky4;KY;KY1851;;;;ky.ky1851;;
usaky4;KY;KY1853;;;;ky.ky1853;;
usaky4;KY;KY1854;;;;ky.ky1854;;
usaky4;KY;KY1855;;;;ky.ky1855;;
usaky4;KY;KY1856;;;;ky.ky1856;;
usaky4;KY;KY1857;;;;ky.ky1857;;signed
usaky4;KY;KY1858;;;;ky.ky1858;;
usaky4;KY;KY1859;;;;ky.ky1859;;signed
usaky4;KY;KY1860;;;;ky.ky1860;;
usaky4;KY;KY1861;;;;ky.ky1861;;
usaky4;KY;KY1862;;;;ky.ky1862;;signed
usaky4;KY;KY1863;;;;ky.ky1863;;signed
usaky4;KY;KY1864;;;;ky.ky1864;;
usaky4;KY;KY1865;;;;ky.ky1865;;signed
usaky4;KY;KY1866;;;;ky.ky1866;;signed
usaky4;KY;KY1868;;;;ky.ky1868;;signed
usaky4;KY;KY1869;;;;ky.ky1869;;signed
usaky4;KY;KY1870;;;;ky.ky1870;;
usaky4;KY;KY1871;;;;ky.ky1871;;signed
usaky4;KY;KY1872;;;;ky.ky1872;;
usaky4;KY;KY1873;;;;ky.ky1873;;signed
usaky4;KY;KY1874;;;;ky.ky1874;;
usaky4;KY;KY1875;;;;ky.ky1875;;
usaky4;KY;KY1876;;;;ky.ky1876;;
usaky4;KY;KY1879;;;;ky.ky1879;;
usaky4;KY;KY1880;;;;ky.ky1880;;
usaky4;KY;KY1881;;;;ky.ky1881;;signed
usaky4;KY;KY1882;;;;ky.ky1882;;
usaky4;KY;KY1883;;;;ky.ky1883;;signed
usaky4;KY;KY1884;;;;ky.ky1884;;
usaky4;KY;KY1885;;;;ky.ky1885;;
usaky4;KY;KY1886;;;;ky.ky1886;;
usaky4;KY;KY1887;;;;ky.ky1887;;
usaky4;KY;KY1888;;;;ky.ky1888;;signed
usaky4;KY;KY1889;;;;ky.ky1889;;
usaky4;KY;KY1890;;;;ky.ky1890;;
usaky4;KY;KY1891;;;;ky.ky1891;;signed
usaky4;KY;KY1892;;;;ky.ky1892;;signed
usaky4;KY;KY1893;;;;ky.ky1893;;
usaky4;KY;KY1894;;;;ky.ky1894;;
usaky4;KY;KY1895;;;;ky.ky1895;;
usaky4;KY;KY1896;;;;ky.ky1896;;
usaky4;KY;KY1897;;;;ky.ky1897;;signed
usaky4;KY;KY1899;;;;ky.ky1899;;
usaky4;KY;KY1900;;;;ky.ky1900;;signed
usaky4;KY;KY1901;;;;ky.ky1901;;
usaky4;KY;KY1902;;;;ky.ky1902;;signed
usaky4;KY;KY1903;;;;ky.ky1903;;
usaky4;KY;KY1904;;;;ky.ky1904;;
usaky4;KY;KY1905;;;;ky.ky1905;;
usaky4;KY;KY1906;;;;ky.ky1906;;
usaky4;KY;KY1907;;;;ky.ky1907;;signed
usaky4;KY;KY1909;;;;ky.ky1909;;signed
usaky4;KY;KY1910;;;;ky.ky1910;;
usaky4;KY;KY1912;;;;ky.ky1912;;signed
usaky4;KY;KY1913;;;;ky.ky1913;;
usaky4;KY;KY1914;;;;ky.ky1914;;signed
usaky4;KY;KY1915;;;;ky.ky1915;;
usaky4;KY;KY1917;;;;ky.ky1917;;signed
usaky4;KY;KY1918;;;;ky.ky1918;;signed
usaky4;KY;KY1919;;;;ky.ky1919;;signed
usaky4;KY;KY1920;;;;ky.ky1920;;
usaky4;KY;KY1921;;;;ky.ky1921;;signed
usaky4;KY;KY1922;;;;ky.ky1922;;
usaky4;KY;KY1923;;;;ky.ky1923;;signed
usaky4;KY;KY1924;;;;ky.ky1924;;
usaky4;KY;KY1925;;;;ky.ky1925;;
usaky4;KY;KY1926;;;;ky.ky1926;;signed
usaky4;KY;KY1927;;;;ky.ky1927;;
usaky4;KY;KY1928;;;;ky.ky1928;;
usaky4;KY;KY1929;;;;ky.ky1929;;
usaky4;KY;KY1930;;;;ky.ky1930;;
usaky4;KY;KY1931;;;;ky.ky1931;;signed
usaky4;KY;KY1932;;;;ky.ky1932;;signed
usaky4;KY;KY1933;;;;ky.ky1933;;signed
usaky4;KY;KY1934;;;;ky.ky1934;;signed
usaky4;KY;KY1935;;;;ky.ky1935;;signed
usaky4;KY;KY1936;;;;ky.ky1936;;
usaky4;KY;KY1937;;;;ky.ky1937;;signed
usaky4;KY;KY1938;;;;ky.ky1938;;signed
usaky4;KY;KY1939;;;;ky.ky1939;;
usaky4;KY;KY1940;;;;ky.ky1940;;
usaky4;KY;KY1941;;;;ky.ky1941;;
usaky4;KY;KY1942;;;;ky.ky1942;;
usaky4;KY;KY1943;;;;ky.ky1943;;signed
usaky4;KY;KY1944;;;;ky.ky1944;;
usaky4;KY;KY1945;;;;ky.ky1945;;signed
usaky4;KY;KY1947;;;;ky.ky1947;;
usaky4;KY;KY1948;;;;ky.ky1948;;
usaky4;KY;KY1949;;;;ky.ky1949;;signed
usaky4;KY;KY1950;;;;ky.ky1950;;signed
usaky4;KY;KY1951;;;;ky.ky1951;;signed
usaky4;KY;KY1952;;;;ky.ky1952;;signed
usaky4;KY;KY1953;;;;ky.ky1953;;signed
usaky4;KY;KY1954;;;;ky.ky1954;;signed
usaky4;KY;KY1955;;;;ky.ky1955;;signed
usaky4;KY;KY1956;;;;ky.ky1956;;signed
usaky4;KY;KY1957;;;;ky.ky1957;;
usaky4;KY;KY1958;;;(West) Winchester;ky.ky1958;;signed
usaky4;KY;KY1958;;EWi;(East) Winchester;ky.ky1958ewi;;signed
usaky4;KY;KY1959;;;;ky.ky1959;;
usaky4;KY;KY1960;;;;ky.ky1960;;signed
usaky4;KY;KY1961;;;;ky.ky1961;;
usaky4;KY;KY1962;;;;ky.ky1962;;signed
usaky4;KY;KY1963;;;;ky.ky1963;;
usaky4;KY;KY1964;;;;ky.ky1964;;
usaky4;KY;KY1965;;;;ky.ky1965;;
usaky4;KY;KY1966;;;;ky.ky1966;;signed
usaky4;KY;KY1967;;;;ky.ky1967;;
usaky4;KY;KY1968;;;;ky.ky1968;;
usaky4;KY;KY1969;;;;ky.ky1969;;
usaky4;KY;KY1970;;;;ky.ky1970;;
usaky4;KY;KY1971;;;;ky.ky1971;;signed
usaky4;KY;KY1972;;;;ky.ky1972;;
usaky4;KY;KY1973;;;;ky.ky1973;;signed
usaky4;KY;KY1974;;;;ky.ky1974;;signed
usaky4;KY;KY1975;;;;ky.ky1975;;
usaky4;KY;KY1976;;;;ky.ky1976;;
usaky4;KY;KY1977;;;;ky.ky1977;;
usaky4;KY;KY1978;;;;ky.ky1978;;
usaky4;KY;KY1979;;;;ky.ky1979;;
usaky4;KY;KY1980;;;;ky.ky1980;;
usaky4;KY;KY1981;;;;ky.ky1981;;signed
usaky4;KY;KY1982;;;;ky.ky1982;;signed
usaky4;KY;KY1983;;;;ky.ky1983;;signed
usaky4;KY;KY1984;;;;ky.ky1984;;signed
usaky4;KY;KY1985;;;;ky.ky1985;;signed
usaky4;KY;KY1986;;;;ky.ky1986;;
usaky4;KY;KY1987;;;;ky.ky1987;;signed
usaky4;KY;KY1988;;;;ky.ky1988;;signed
usaky4;KY;KY1989;;;;ky.ky1989;;
usaky4;KY;KY1991;;;;ky.ky1991;;
usaky4;KY;KY1992;;;;ky.ky1992;;
usaky4;KY;KY1993;;;;ky.ky1993;;
usaky4;KY;KY1994;;;;ky.ky1994;;
usaky4;KY;KY1995;;;;ky.ky1995;;
usaky4;KY;KY1996;;;;ky.ky1996;;signed
usaky4;KY;KY1997;;;;ky.ky1997;;signed
usaky4;KY;KY1998;;;;ky.ky1998;;
usaky4;KY;KY1999;;;;ky.ky1999;;
