region_code;region_name;country_code;country_name;continent_code;continent_name
BOL;Bolivia;BOL;Bolivia;SA;South America
BRA;Brazil;BRA;Brazil;SA;South America
BRB;Barbados;BRB;Barbados;NA;North America
BRN;Brunei;BRN;Brunei;ASI;Asia
BTN;Bhutan;BTN;Bhutan;ASI;Asia
BVT;Bouvet Island;NOR;Norway;ATA;Antarctica
BWA;Botswana;BWA;Botswana;AFR;Africa
CA;California;USA;United States of America;NA;North America
CAF;Central African Republic;CAF;Central African Republic;AFR;Africa
CCK;Cocos (Keeling) Islands;AUS;Australia;OCE;Oceania
CHE;Switzerland;CHE;Switzerland;EUR;Europe
CHL;Chile;CHL;Chile;SA;South America
CHN-AH;Anhui;CHN;China;ASI;Asia
CHN-BJ;Beijing;CHN;China;ASI;Asia
CHN-CQ;Chongqing;CHN;China;ASI;Asia
CHN-FJ;Fujian;CHN;China;ASI;Asia
CHN-GD;Guangdong;CHN;China;ASI;Asia
CHN-GS;Guansu;CHN;China;ASI;Asia
CHN-GX;Guanxi Zhuang;CHN;China;ASI;Asia
CHN-GZ;Guizhou;CHN;China;ASI;Asia
CHN-HA;Henan;CHN;China;ASI;Asia
CHN-HB;Hubai;CHN;China;ASI;Asia
CHN-HE;Hebei;CHN;China;ASI;Asia
CHN-HI;Hainan;CHN;China;ASI;Asia
CHN-HL;Heliongjiang;CHN;China;ASI;Asia
CHN-HN;Hunan;CHN;China;ASI;Asia
CHN-JL;Jilin;CHN;China;ASI;Asia
CHN-JS;Jiangsu;CHN;China;ASI;Asia
CHN-JX;Jiangxi;CHN;China;ASI;Asia
CHN-LN;Lianoning;CHN;China;ASI;Asia
CHN-NM;Nei Mongol;CHN;China;ASI;Asia
CHN-NX;Ningxia Hui;CHN;China;ASI;Asia
CHN-QH;Qinghai;CHN;China;ASI;Asia
CHN-SC;Sichuan;CHN;China;ASI;Asia
CHN-SD;Shangong;CHN;China;ASI;Asia
CHN-SH;Shanghai;CHN;China;ASI;Asia
CHN-SN;Shaanxi;CHN;China;ASI;Asia
CHN-SX;Shanxi;CHN;China;ASI;Asia
CHN-TJ;Tianjin;CHN;China;ASI;Asia
CHN-XJ;Xinjiang Uyghur;CHN;China;ASI;Asia
CHN-XZ;Tibet;CHN;China;ASI;Asia
CHN-YN;Yunnan;CHN;China;ASI;Asia
CHN-ZJ;Zhejiang;CHN;China;ASI;Asia
CIV;Côte d'Ivoire;CIV;Côte d'Ivoire;AFR;Africa
CMR;Cameroon;CMR;Cameroon;AFR;Africa
CO;Colorado;USA;United States of America;NA;North America
COD;Congo (DRC);COD;Congo (DRC);AFR;Africa
COG;Congo (Republic of);COG;Republic of Congo;AFR;Africa
COK;Cook Islands;NZL;New Zealand;OCE;Oceania
COL;Colombia;COL;Colombia;SA;South America
COM;Comoros;COM;Comoros;AFR;Africa
CPV;Cabo Verde;CPV;Cabo Verde;AFR;Africa
CRI;Costa Rica;CRI;Costa Rice;NA;North America
CRM;Crimea;UKR;Ukraine;EUR;Europe
CT;Connecticut;USA;United States of America;NA;North America
CUB;Cuba;CUB;Cuba;NA;North America
CUW;Curaçao;NLD;Netherlands;NA;North America
CXR;Christmas Island;AUS;Australia;OCE;Oceania
CYM;Cayman Islands;GBR;United Kingdom;NA;North America
CYP;Cyprus;CYP;Cyprus;ASI;Asia
CZE;Czechia;CZE;Czechia;EUR;Europe
DC;District of Columbia;USA;United States of America;NA;North America
DE;Delaware;USA;United States of America;NA;North America
DEU;Germany;DEU;Germany;EUR;Europe
DJI;Djibouti;DJI;Djibouti;AFR;Africa
DMA;Dominica;DMA;Dominica;NA;North America
DNK;Denmark;DNK;Denmark;EUR;Europe
DOM;Dominican Republic;DOM;Dominican Republic;NA;North America
DZA;Algeria;DZA;Algeria;AFR;Africa
ECU;Ecuador;ECU;Ecuador;SA;South America
EGY;Egypt;EGY;Egypt;AFR;Africa
ENG;England;GBR;United Kingdom;EUR;Europe
ERI;Eritrea;ERI;Eritrea;AFR;Africa
ESH;Western Sahara;ESH;Western Sahara;AFR;Africa
ESP;Spain;ESP;Spain;EUR;Europe
EST;Estonia;EST;Estonia;EUR;Europe
ETH;Ethiopia;ETH;Ethiopia;AFR;Africa
FIN;Finland;FIN;FinlandEUR;Europe;
FJI;Fiji;FJI;Fiji;OCE;Oceania
FL;Florida;USA;United States of America;NA;North America
FLK;Falkland Islands;GBR;United Kingdom;SA;South America
FRA-ARA;Auvergne-Rhône-Alpes;FRA;France;EUR;Europe
FRA-BFC;Bourgogne-Franche-Comté;FRA;France;EUR;Europe
FRA-BRE;Brittany;FRA;France;EUR;Europe
FRA-CVL;Centre-Val de Loire;FRA;France;EUR;Europe
FRA-COR;Corsica;FRA;France;EUR;Europe
FRA-GES;Grand-Est;FRA;France;EUR;Europe
FRA-HDF;Hauts-de-France;FRA;France;EUR;Europe
FRA-IDF;Île-de-France;FRA;France;EUR;Europe
FRA-NOR;Normandy;FRA;France;EUR;Europe
FRA-NAQ;Nouvelle-Aquitaine;FRA;France;EUR;Europe
FRA-OCC;Occitanie;FRA;France;EUR;Europe
FRA-PDL;Pays-de-la-Loire;FRA;France;EUR;Europe
FRA-PAC;Provence-Alpes-Côte-d’Azur;FRA;France;EUR;Europe
FRO;Faroe Islands;DNK;Denmark;EUR;Europe
FSM;Micronesia;FSM;Micronesia;OCE;Oceania
GA;Georgia (USA);USA;United States of America;NA;North America
GAB;Gabon;GAB;Gabon;AFR;Africa
GEO;Georgia (Asia);GEO;Georgia;ASI;Asia
GGY;Guernsey;GGY;Guernsey;EUR;Europe
GHA;Ghana;GHA;Ghana;AFR;Africa
GIB;Gibraltar;GBR;United Kingdom;EUR;Europe
GIN;Guinea;GIN;Guinea;AFR;Africa
GLP;Guadeloupe;FRA;France;NA;North America
GMB;Gambia;GMB;Gambia;AFR;Africa
GNB;Guinea-Bissau;GNB;Guinea-Bissau;AFR;Africa
GNQ;Equatorial Guinea;GNQ;Equatorial Guinea;AFR;Africa
GRC;Greece;GRC;Greece;EUR;Europe
GRD;Grenada;GRD;Grenada;NA;North America
GRL;Greenland;DNK;Denmark;NA;North America
GTM;Guatemala;GTM;Guatemala;NA;North America
GU;Guam;USA;United States of America;OCE;Oceania
GUF;French Guiana;FRA;France;SA;South America
GUY;Guyana;GUY;Guyana;SA;South America
HI;Hawaii;USA;United States of America;OCE;Oceania
HKG;Hong Kong;CHN;China;ASI;Asia
HMD;Heard Island and McDonald Islands;AUS;Australia;OCE;Oceania
HND;Honduras;HND;Honduras;NA;North America
HRV;Croatia;HRV;Croatia;EUR;Europe
HTI;Haiti;HTI;Haiti;NA;North America
HUN;Hungary;HUN;Hungary;EUR;Europe
IA;Iowa;USA;United States of America;NA;North America
ID;Idaho;USA;United States of America;NA;North America
IDN;Indonesia;IDN;Indonesia;ASI;Asia
IL;Illinois;USA;United States of America;NA;North America
IMN;Isle of Man;IMN;Isle of Man;EUR;Europe
IN;Indiana;USA;United States of America;NA;North America
IND-AN;Andaman and Nicobar Islands;IND;India;ASI;Asia
IND-AP;Andhra Pradesh;IND;India;ASI;Asia
IND-AR;Arunachal Pradesh;IND;India;ASI;Asia
IND-AS;Assam;IND;India;ASI;Asia
IND-BR;Bihar;IND;India;ASI;Asia
IND-CH;Chandigarh;IND;India;ASI;Asia
IND-CT;Chhattisgarh;IND;India;ASI;Asia
IND-DD;Daman and Diu;IND;India;ASI;Asia
IND-DL;National Capital Territory of Delhi;IND;India;ASI;Asia
IND-DN;Dadra and Nagar Haveli;IND;India;ASI;Asia
IND-GA;Goa;IND;India;ASI;Asia
IND-GJ;Gujarat;IND;India;ASI;Asia
IND-HP;Himachal Pradesh;IND;India;ASI;Asia
IND-HR;Haryana;IND;India;ASI;Asia
IND-JH;Jharkhand;IND;India;ASI;Asia
IND-JK;Jammu and Kashmir;IND;India;ASI;Asia
IND-KA;Karnataka;IND;India;ASI;Asia
IND-KL;Kerala;IND;India;ASI;Asia
IND-LD;Lakshadweep;IND;India;ASI;Asia
IND-MH;Maharashtra;IND;India;ASI;Asia
IND-ML;Meghalaya;IND;India;ASI;Asia
IND-MN;Manipur;IND;India;ASI;Asia
IND-MP;Madhya Pradesh;IND;India;ASI;Asia
IND-MZ;Mizoram;IND;India;ASI;Asia
IND-NL;Nagaland;IND;India;ASI;Asia
IND-OR;Odisha;IND;India;ASI;Asia
IND-PB;Punjab;IND;India;ASI;Asia
IND-PY;Puducherry;IND;India;ASI;Asia
IND-RJ;Rajasthan;IND;India;ASI;Asia
IND-SK;Sikkim;IND;India;ASI;Asia
IND-TG;Telangana;IND;India;ASI;Asia
IND-TN;Tamil Nadu;IND;India;ASI;Asia
IND-TR;Tripura;IND;India;ASI;Asia
IND-UP;Uttar Pradesh;IND;India;ASI;Asia
IND-UT;Uttarakhand;IND;India;ASI;Asia
IND-WB;West Bengal;IND;India;ASI;Asia
IOT;British Indian Ocean Territory;GBR;United Kingdom;ASI;Asia
IRL;Ireland;IRL;Ireland;EUR;Europe
IRN;Iran;IRN;Iran;ASI;Asia
IRQ;Iraq;IRQ;Iraq;ASI;Asia
ISL;Iceland;ISL;Iceland;EUR;Europe
ISR;Israel;ISR;Israel;ASI;Asia
ITA;Italy;ITA;Italy;EUR;Europe
JAM;Jamaica;JAM;Jamaica;NA;North America
JEY;Jersey;JEY;Jersey;EUR;Europe
JOR;Jordan;JOR;Jordan;ASI;Asia
JPN;Japan;JPN;Japan;ASI;Asia
KAZ;Kazakhstan;KAZ;Kazakhstan;ASI;Asia
KEN;Kenya;KEN;AFR;Kenya;Africa
KGZ;Kyrgyzstan;KGZ;Kyrgyzstan;ASI;Asia
KHM;Cambodia;KHM;Cambodia;ASI;Asia
KIR;Kiribati;KIR;Kiribati;OCE;Oceania
KNA;Saint Kitts and Nevis;KNA;Saint Kitts and Nevis;NA;North America
KOR;Korea (South);KOR;Korea (South);ASI;Asia
KS;Kansas;USA;United States of America;NA;North America
KWT;Kuwait;KWT;Kuwait;ASI;Asia
KY;Kentucky;USA;United States of America;NA;North America
LA;Louisiana;USA;United States of America;NA;North America
LAO;Laos;LAO;Laos;ASI;Asia
LBN;Lebanon;LBN;Lebanon;ASI;Asia
LBR;Liberia;LBR;Liberia;AFR;Africa
LBY;Libya;LBY;Libya;AFR;Africa
LCA;Saint Lucia;LCA;Saint Lucia;NA;North America
LIE;Liechtenstein;LIE;Liechtenstein;EUR;Europe
LKA;Sri Lanka;LKA;Sri Lanka;ASI;Asia
LSO;Lesotho;LSO;Lesotho;AFR;Africa
LTU;Lithuania;LTU;Lithuania;EUR;Europe
LUX;Luxembourg;LUX;Luxembourg;EUR;Europe
LVA;Latvia;LVA;Latvia;EUR;Europe
MA;Massachusetts;USA;United States of America;NA;North America
MAC;Macao;CHN;China;ASI;Asia
MAF;Saint Martin;FRA;France;NA;North America
MAR;Morocco;MAR;Morocco;AFR;Africa
MB;Manitoba;CAN;Canada;NA;North America
MCO;Monaco;MCO;Monaco;EUR;Europe
MD;Maryland;USA;United States of America;NA;North America
MDA;Moldova;MDA;Moldova;EUR;Europe
MDG;Madagascar;MDG;Madagascar;AFR;Africa
MDV;Maldives;MDV;Maldives;ASI;Asia
ME;Maine;USA;United States of America;NA;North America
MEX-AGS;Aguascalientes;MEX;Mexico;NA;North America
MEX-BC;Baja California;MEX;Mexico;NA;North America
MEX-BCS;Baja California Sur;MEX;Mexico;NA;North America
MEX-CAMP;Campeche;MEX;Mexico;NA;North America
MEX-CHIH;Chihuahua;MEX;Mexico;NA;North America
MEX-CHIS;Chiapas;MEX;Mexico;NA;North America
MEX-COAH;Coahuila;MEX;Mexico;NA;North America
MEX-COL;Colima;MEX;Mexico;NA;North America
MEX-DF;Distrito Federal;MEX;Mexico;NA;North America
MEX-DGO;Durango;MEX;Mexico;NA;North America
MEX-EMEX;Estado de México;MEX;Mexico;NA;North America
MEX-GRO;Guerrero;MEX;Mexico;NA;North America
MEX-GTO;Guanajuato;MEX;Mexico;NA;North America
MEX-HGO;Hidalgo;MEX;Mexico;NA;North America
MEX-JAL;Jalisco;MEX;Mexico;NA;North America
MEX-MICH;Michoacán;MEX;Mexico;NA;North America
MEX-MOR;Morelos;MEX;Mexico;NA;North America
MEX-NAY;Nayarit;MEX;Mexico;NA;North America
MEX-NL;Nuevo León;MEX;Mexico;NA;North America
MEX-OAX;Oaxaca;MEX;Mexico;NA;North America
MEX-PUE;Puebla;MEX;Mexico;NA;North America
MEX-QRO;Querétaro;MEX;Mexico;NA;North America
MEX-QROO;Quintana Roo;MEX;Mexico;NA;North America
MEX-SIN;Sinaloa;MEX;Mexico;NA;North America
MEX-SLP;San Luis Potosí;MEX;Mexico;NA;North America
MEX-SON;Sonora;MEX;Mexico;NA;North America
MEX-TAB;Tabasco;MEX;Mexico;NA;North America
MEX-TAM;Tamaulipas;MEX;Mexico;NA;North America
MEX-TLAX;Tlaxcala;MEX;Mexico;NA;North America
MEX-VER;Veracruz;MEX;Mexico;NA;North America
MEX-YUC;Yucatán;MEX;Mexico;NA;North America
MEX-ZAC;Zacatecas;MEX;Mexico;NA;North America
MHL;Marshall Islands;MHL;Marshall Islands;OCE;Oceania
MI;Michigan;USA;United States of America;NA;North America
MKD;North Macedonia;MKD;North Macedonia;EUR;Europe
MLI;Mali;MLI;Mali;AFR;Africa
MLT;Malta;MLT;Malta;EUR;Europe
MMR;Myanmar;MMR;Myanmar;ASI;Asia
MN;Minnesota;USA;United States of America;NA;North America
MNE;Montenegro;MNE;Montenegro;EUR;Europe
MNG;Mongolia;MNG;Mongolia;ASI;Asia
MO;Missouri;USA;United States of America;NA;North America
MOZ;Mozambique;MOZ;Mozambique;AFR;Africa
MP;Northern Mariana Islands;USA;United States of America;OCE;Oceania
MRT;Mauritania;MRT;Mauritania;AFR;Africa
MS;Mississippi;USA;United States of America;NA;North America
MSR;Montserrat;GBR;United Kingdom;NA;North America
MT;Montana;USA;United States of America;NA;North America
MTQ;Martinique;FRA;France;NA;North America
MUS;Mauritius;MUS;Mauritius;AFR;Africa
MWI;Malawi;MWI;Malawi;AFR;Africa
MYS;Malaysia;MYS;Malaysia;ASI;Asia
MYT;Mayotte;FRA;France;AFR;Africa
NAM;Namibia;NAM;Namibia;AFR;Africa
NB;New Brunswick;CAN;Canada;NA;North America
NC;North Carolina;USA;United States of America;NA;North America
NCL;New Caledonia;FRA;France;OCE;Oceania
ND;North Dakota;USA;United States of America;NA;North America
NE;Nebraska;USA;United States of America;NA;North America
NER;Niger;NER;Niger;AFR;Africa
NFK;Norfolk Island;AUS;Australia;OCE;Oceania
NGA;Nigeria;NGA;Nigeria;AFR;Africa
NH;New Hampshire;USA;United States of America;NA;North America
NIC;Nicaragua;NIC;Nicaragua;NA;North America
NIR;Northern Ireland;GBR;United Kingdom;EUR;Europe
NIU;Niue;NZL;New Zealand;OCE;Oceania
NJ;New Jersey;USA;United States of America;NA;North America
NL;Newfoundland and Labrador;CAN;Canada;NA;North America
NLD;Netherlands;NLD;Netherlands;EUR;Europe
NM;New Mexico;USA;United States of America;NA;North America
NOR;Norway;NOR;NorwayEUR;Europe;
NPL;Nepal;NPL;NepalASI;Asia;
NRU;Nauru;NRU;Nauru;OCE;Oceania
NS;Nova Scotia;CAN;Canada;NA;North America
NT;Northwest Territories;CAN;Canada;NA;North America
NU;Nunavut;CAN;Canada;NA;North America
NV;Nevada;USA;United States of America;NA;North America
NY;New York;USA;United States of America;NA;North America
NZL;New Zealand;NZL;New Zealand;OCE;Oceania
OH;Ohio;USA;United States of America;NA;North America
OK;Oklahoma;USA;United States of America;NA;North America
OMN;Oman;OMN;Oman;ASI;Asia
ON;Ontario;CAN;Canada;NA;North America
OR;Oregon;USA;United States of America;NA;North America
PA;Pennsylvania;USA;United States of America;NA;North America
PAK;Pakistan;PAK;Pakistan;ASI;Asia
PAN;Panama;PAN;Panama;NA;North America
PCN;Pitcairn;GBR;United Kingdom;OCE;Oceania
PE;Prince Edward Island;CAN;Canada;NA;North America
PER;Peru;PER;Peru;SA;South America
PHL;Philippines;PHL;Philippines;ASI;Asia
PLW;Palau;PLW;Palau;OCE;Oceania
PNG;Papua New Guinea;PNG;Papua New Guinea;OCE;Oceania
POL;Poland;POL;EUR;Europe;
PR;Puerto Rico;USA;United States of America;NA;North America
PRK;Korea (North);PRK;Korea (North);ASI;Asia
PRT;Portugal;PRT;Portugal;EUR;Europe
PRY;Paraguay;PRY;Paraguay;SA;South America
PSE;Palestine;PSE;PalestineASI;Asia;
PYF;French Polynesia;FRA;France;OCE;Oceania
QAT;Qatar;QAT;Qatar;ASI;Asia
QC;Québec;CAN;Canada;NA;North America
REU;Réunion;FRA;France;AFR;Africa
RI;Rhode Island;USA;United States of America;NA;North America
RKS;Kosovo;RKS;Kosovo;EUR;Europe
ROU;Romania;ROU;Romania;EUR;Europe
RUS;Russia;RUS;Russia;EUR;Europe
RWA;Rwanda;RWA;Rwanda;AFR;Africa
SAU;Saudi Arabia;SAU;Saudi Arabia;ASI;Asia
SC;South Carolina;USA;United States of America;NA;North America
SCT;Scotland;GBR;United Kingdom;EUR;Europe
SD;South Dakota;USA;United States of America;NA;North America
SDN;Sudan;SDN;Sudan;AFR;Africa
SEN;Senegal;SEN;Senegal;AFR;Africa
SGP;Singapore;SGP;Singapore;ASI;Asia
SGS;South Georgia and the South Sandwich Islands;GBR;United Kingdom;ATA;Antarctica
SHN;Saint Helena, Ascension and Tristan da Cunha;GBR;United Kingdom;AFR;Africa
SJM;Svalbard and Jan Mayen;NOR;Norway;EUR;Europe
SK;Saskatchewan;CAN;Canada;NA;North America
SLB;Solomon Islands;SLB;Solomon Islands;OCE;Oceania
SLE;Sierra Leone;SLE;Sierra Leone;AFR;Africa
SLV;El Salvador;SLV;El Salvador;NA;North America
SMR;San Marino;SMR;San Marino;EUR;Europe
SOM;Somalia;SOM;Somalia;AFR;Africa
SPM;Saint Pierre and Miquelon;FRA;France;NA;North America
SRB;Serbia;SRB;Serbia;EUR;Europe
SSD;South Sudan;SSD;South Sudan;AFR;Africa
STP;Sao Tome and Principe;STP;Sao Tome and Principe;AFR;Africa
SUR;Suriname;SUR;SA;South America;
SVK;Slovakia;SVK;Slovakia;EUR;Europe
SVN;Slovenia;SVN;Slovenia;EUR;Europe
SWE;Sweden;SWE;Sweden;EUR;Europe
SWZ;Eswatini;SWZ;Eswatini;AFR;Africa
SXM;Sint Maarten;NLD;Netherlands;NA;North America
SYC;Seychelles;SYC;SeychellesAFR;Africa;
SYR;Syria;SYR;Syria;ASI;Asia
TCA;Turks and Caicos Islands;GBR;United Kingdom;NA;North America
TCD;Chad;TCD;Chad;AFR;Africa
TGO;Togo;TGO;Togo;AFR;Africa
THA;Thailand;THA;Thailand;ASI;Asia
TJK;Tajikistan;TJK;Tajikistan;ASI;Asia
TKL;Tokelau;NZL;New Zealand;OCE;Oceania
TKM;Turkmenistan;TKM;Turkmenistan;ASI;Asia
TLS;Timor-Leste;TLS;Timor-Leste;ASI;Asia
TN;Tennessee;USA;United States of America;NA;North America
TON;Tonga;TON;Tonga;OCE;Oceania
TTO;Trinidad and Tobago;TTO;Trinidad and Tobago;NA;North America
TUN;Tunisia;TUN;Tunisia;AFR;Africa
TUR;Turkey;TUR;Turkey;ASI;Asia
TUV;Tuvalu;TUV;Tuvualu;OCE;Oceania
TWN;Taiwan;CHN;China;ASI;Asia
TX;Texas;USA;United States of America;NA;North America
TZA;Tanzania;TZA;Tanzania;AFR;Africa
UGA;Uganda;UGA;Uganda;AFR;Africa
UKR;Ukraine;UKR;Ukraine;EUR;Europe
UM;United States Minor Outlying Islands;USA;United States of America;OCE;Oceania
URY;Uruguay;URY;Uruguay;SA;South America
UT;Utah;USA;United States of America;NA;North America
UZB;Uzbekistan;UZB;Uzbekistan;ASI;Asia
VA;Virginia;USA;United States of America;NA;North America
VAT;Holy See;VAT;Holy See;EUR;Europe
VCT;Saint Vincent and the Grenadines;VCT;Saint Vincent and the Grenadines;NA;North America
VEN;Venezuela;VEN;Venezuela;SA;South America
VGB;Virgin Islands (British);GBR;United Kingdom;NA;North America
VI;Virgin Islands (US);USA;United States of America;NA;North America
VNM;Vietnam;VNM;Vietnam;ASI;Asia
VT;Vermont;USA;United States of America;NA;North America
VUT;Vanuatu;VUT;Vanuatu;OCE;Oceania
WA;Washington;USA;United States of America;NA;North America
WI;Wisconsin;USA;United States of America;NA;North America
WLF;Wallis and Futuna;FRA;France;OCE;Oceania
WLS;Wales;GBR;United Kingdom;EUR;Europe
WSM;Samoa;WSM;Samoa;OCE;Oceania
WV;West Virginia;USA;United States of America;NA;North America
WY;Wyoming;USA;United States of America;NA;North America
YEM;Yemen;YEM;Yemen;ASI;Asia
YT;Yukon;CAN;Canada;NA;North America
ZAF;South Africa;ZAF;South Africa;AFR;Africa
ZMB;Zambia;ZMB;Zambia;AFR;Africa
ZWE;Zimbabwe;ZWE;Zimbabwe;AFR;Africa
