RUS;RUS-KAM;Korjakija
RUS;RUS-KB;Kabardino-Balkarija
RUS;RUS-KC;Karačaj-Čerkessija
RUS;RUS-KDA;Krasnodar 
RUS;RUS-KEM;Kemerovo
RUS;RUS-KGD;Kaliningrad 
RUS;RUS-KGN;Kurgan 
RUS;RUS-KHA;Habarovsk
RUS;RUS-KHM;Hanty-Mansija
RUS;RUS-KIR;Kirov
RUS;RUS-KK;Hakasija
RUS;RUS-KL;Kalmykija
RUS;RUS-KLU;Kaluga 
RUS;RUS-KO;Komi-Permjak
RUS;RUS-KO;Komi
RUS;RUS-KOS;Kostroma
RUS;RUS-KR;Karelija
RUS;RUS-KRS;Kursk 
RUS;RUS-KYA;Krasnojarsk
RUS;RUS-KYA;Tajmyr
RUS;RUS-LEN;Leningrad 
RUS;RUS-LIP;Lipeck
RUS;RUS-MAG;Magadan
RUS;RUS-ME;Marij El
RUS;RUS-MO;Mordovija
RUS;RUS-MOS;Moskovskaja Oblast
RUS;RUS-MOW;Moskau
RUS;RUS-MUR;Murmansk 
RUS;RUS-NEN;Nenets
RUS;RUS-NGR;Novgorod 
RUS;RUS-NIZ;Nižnij Novgorod 
RUS;RUS-NVS;Novosibirsk
RUS;RUS-OMS;Omsk 
RUS;RUS-ORE;Orenburg 
RUS;RUS-ORL;Orjol
RUS;RUS-PER;Perm 
RUS;RUS-PNZ;Penza 
RUS;RUS-PRI;Primorje
RUS;RUS-PSK;Pskov 
RUS;RUS-ROS;Rostov 
RUS;RUS-RYA;Rjazan 
RUS;RUS-SA;Saha
RUS;RUS-SAK;Sahalin
RUS;RUS-SAM;Samara 
RUS;RUS-SAR;Saratov 
RUS;RUS-SE;Alanija
RUS;RUS-SMO;Smolensk 
RUS;RUS-SPE;Sankt Petersburg 
RUS;RUS-STA;Stavropol 
RUS;RUS-SVE;Sverdlovsk 
RUS;RUS-TA;Tatarstan 
RUS;RUS-TAM;Tambov 
RUS;RUS-TOM;Tomsk
RUS;RUS-TUL;Tula 
RUS;RUS-TVE;Tver 
RUS;RUS-TY;Tyva
RUS;RUS-TYU;Tjumen 
RUS;RUS-UD;Udmurtija
RUS;RUS-ULY;Uljanovsk
RUS;RUS-VGG;Volgograd 
RUS;RUS-VLA;Vladimir 
RUS;RUS-VLG;Vologda
RUS;RUS-VOR;Voronež
RUS;RUS-YAN;Jamalo-Nenets
RUS;RUS-YAR;Jaroslavl
RUS;RUS-YEV;Jevrej
RUS;RUS-ZAB;Aga
RUS;RUS-ZAB;Čita
RUS;RUS-ZAB;Ust-Orda
USA;AK;Alaska
USA;AL;Alabama
USA;AR;Arkansas
USA;AZ;Arizona
USA;CA;California
USA;CO;Colorado
USA;CT;Connecticut
USA;DC;District of Columbia
USA;DE;Delaware
USA;FL;Florida
USA;GA;Georgia
USA;HI;Hawaii
USA;IA;Iowa
USA;ID;Idaho
USA;IL;Illinois
USA;IN;Indiana
USA;KS;Kansas
USA;KY;Kentucky
USA;LA;Louisiana
USA;MA;Massachusetts
USA;MD;Maryland
USA;ME;Maine
USA;MI;Michigan
USA;MN;Minnesota
USA;MO;Missouri
USA;MS;Mississippi
USA;MT;Montana
USA;NC;North Carolina
USA;ND;North Dakota
USA;NE;Nebraska
USA;NH;New Hampshire
USA;NJ;New Jersey
USA;NM;New Mexico
USA;NV;Nevada
USA;NY;New York
USA;OH;Ohio
USA;OK;Oklahoma
USA;OR;Oregon
USA;PA;Pennsylvania
USA;PR;Puerto Rico
USA;RI;Rhode Island
USA;SC;South Carolina
USA;SD;South Dakota
USA;TN;Tennessee
USA;TX;Texas
USA;UT;Utah
USA;VA;Virginia
USA;VT;Vermont
USA;WA;Washington
USA;WI;Wisconsin
USA;WV;West Virginia
USA;WY;Wyoming
KAZ;KAZ-ALA;
KAZ;KAZ-AST;Astana
KAZ;KAZ-AKM;Aqmola
KAZ;KAZ-AKT;Aqtöbe
KAZ;KAZ-ATY;Atyrau
KAZ;KAZ-ZAP;Batıs Ķazaķstan
KAZ;KAZ-MAN;Maņķıstau
KAZ;KAZ-YUZ;Oņtüstik Ķazaķstan
KAZ;KAZ-PAV;Pavlodar
KAZ;KAZ-KAR;Qaragandy
KAZ;KAZ-KUS;Qostanay
KAZ;KAZ-KZY;any
KAZ;KAZ-VOS;Şıgıs Ķazaķstan
KAZ;KAZ-SEV;Soltüstik Ķazaķstan
KAZ;KAZ-ZHE;Taraz
KAZ;KAZ-ALM;Almaty
kAZ;KAZ-ZAP;Akmechet
