#	Route	Lengte	Voormalige nummers
	KZ01-01	Bypass van Astana	86 km	M36, ?
KZ03-11	toegang tot Ereimentau	36 km	R55
KZ03-12	Zhaksı – Esil – Buzuluk	82 km	R13
KZ05-02	toegang tot Koktal – Zharkent – Khorgos	69 km	R20
KZ05-03	Konaev – Kurty	67 km	R18
KZ05-07	Kegen – Narynkol	89 km	R15
KZ05-08	KZ05-06 – Zhalanash – Saty-Kurmetty (toegang Lake Kolsai)	89 km	R16
KZ05-09	Almaty – Talgar – Baidibek Bi	68 km	R17
KZ05-10	Almaty – Tonkeris – Bayserke – Mezhdurechenskoye – KAZ01	52 km	R19
KZ05-11	Almaty – Cosmostation	37 km	R22
KZ05-12	Toegang tot Alma-Tau Tourist Base	15 km	R21
KZ05-13	Toegang tot Alatau IT Park SEZ	10 km	R67
KZ06-01	Mukur – Kulsary	136 km	R33
KZ06-02	Makhambet – Khamit Yergaliyev	45 km	R40
KZ06-03	Bypass van Dossor	5 km	KE-42
KZ07-03	Kaztalovka – Zhanibek – grens met Rusland (Zhanibek)	165 km	R44
KZ07-05	Unige – Bisen – Saikhin	103 km	?, R97
KZ07-07	toegang tot Orda village	21 km	R56
KZ08-02	Kordai – Karasu – Masanchi – Sortobe – grens met Kyrgyzstan (Karasu)	45 km	R47, R66
KZ08-03	Toegang naar de grens met Kyrgyzstan (Karasu)	18 km	R47
KZ08-05	Shu – Kainar	56 km	R30
KZ09-01	Temirtau – Aktau – Bastau	53 km	R37
KZ10-02	Zhitikara – Chaikovskoye – grens met Rusland (Zhelkuar)	27 km	R64
KZ10-03	Denisovka – Tavrichenka – Arshaly – Komarovka	96 km	R63
KZ10-04	westelijke bypass van Rudny	7 km	R43
KZ10-05	Toegang tot Marinovka	9 km	R65
KZ10-06	KAZ23 - KAZ19 (Kostanay)	6 km	R38
KZ10-07	KAZ19 – KAZ03	21 km	R39
KZ11-01	Bypass van Kyzylorda	30 km	M32?
KZ13-02	grens met Uzbekistan (Syrdarya) – grens met Uzbekistan (Tselinny)	24 km	M39
KZ13-04	toegang tot T. Ryskulov	37 km	R53
KZ14-02	Atameken – Irtyshsk – grens met Rusland (Amangeldy)	264 km	R41
KZ14-03	Atameken – Aksu – Koktobe – Bolshoy Akzhar – Kurchatov	220 km	R45
KZ14-04	Westelijke bypass van Pavlodar via Irtysh River Bridge	15 km	nieuwe weg
KZ15-02	Peterfeld – Arkhangelskoye – Novokamenka – KAZ13	31 km	R57
KZ15-03	Bulaevo – Vozvyshenka – Molodogvardeyskoye – Kirovo – Kiyaly – Roshchinskoye	228 km	R58
KZ15-04	Roshchinskoye – Korneevka – Voloshinka	87 km	R59
KZ15-05	Voloshinka – Sergeevka – Timiryazevo	119 km	R60
KZ15-06	Toegang tot Petropavl Airport	5 km	R62
KZ15-07	Toegang tot Karasai Batyr Memorial Complex	24 km	KT65, ?
KZ15-08	Timiryazevo – Sarykol – regionale grens	32 km	R61
KZ15-09	Bypass of Petropavl	30 km	R49
KZ16-01	Oskemen – Altay – Ulken Naryn – Katon-Karagai – Rakhman Springs	446 km	R25
KZ16-03	KAZ07 – Kalzhyr – Markakol	124 km	R26
KZ18-01	Kainar – Semey	276 km	R23
KZ20-01	KAZ14 – Zhairem – Karazhal – Atasu	144 km	R34
